  UID   PID  PPID        F CPU PRI NI       SZ    RSS WCHAN     S             ADDR TTY           TIME CMD
  200   358     1     4004   0   4  0  3668776  86916 -      Ss                  0 ??         1:42.35 /System/Library/CoreServices/Software Update.app/Contents/Resources/softwareupdated
  501   359   283     4004   0   4  0  2508316   2396 -      S                   0 ??         0:00.46 /System/Library/PrivateFrameworks/MessagesKit.framework/Resources/soagent.app/Contents/MacOS/soagent
  501   360     1     4004   0  48  0  2514784   2052 -      Ss                  0 ??         0:01.15 com.apple.ShareKitHelper
  200   363     1     4104   0   4  0  2469992     12 -      Ss                  0 ??         0:00.02 /usr/libexec/xpcd
    0   369     1  1004004   0   4  0  2499520   3400 -      Ss                  0 ??         0:00.57 /System/Library/PrivateFrameworks/SoftwareUpdate.framework/Resources/suhelperd
   55   375     1     4104   0   4  0  2468968     12 -      Ss                  0 ??         0:00.02 /usr/libexec/xpcd
  501   377   283     4004   0  48  0  2512472   2104 -      S                   0 ??         0:01.03 /System/Library/CoreServices/AirPlayUIAgent.app/Contents/MacOS/AirPlayUIAgent --launchd
  501   378   283     4004   0  33  0  2494812   2540 -      S                   0 ??         0:00.60 /System/Library/PrivateFrameworks/IMCore.framework/imagent.app/Contents/MacOS/imagent
  501   395   283     4004   0   4  0  2492308    816 -      S                   0 ??         0:00.10 /usr/libexec/lsboxd
  501   396     1     4004   0   4  0  2493680    832 -      Ss                  0 ??         0:00.07 com.apple.imdpersistence.IMDPersistenceAgent
  501   405   283     4004   0   4  0  2497512   2904 -      S                   0 ??         0:01.35 /System/Library/PrivateFrameworks/IDSCore.framework/identityservicesd.app/Contents/MacOS/identityservicesd
  501   406   283     4004   0  33  0  2493636   1128 -      S                   0 ??         0:00.50 /usr/libexec/secd
  501   407     1     4004   0  63  0  3562640  14968 -      Ss                  0 ??         1:51.67 com.apple.WebKit.Networking
  202   414     1     4004   0   4  0  2469452    312 -      Ss                  0 ??         0:00.03 com.apple.audio.SandboxHelper
    0   423     1     4004   0   4  0  2469620    384 -      Ss                  0 ??         0:00.05 com.apple.systemadministration.writeconfig
  501   430   283     4004   0  63  0  3564224  10632 -      S                   0 ??         0:11.46 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storeagent
  501   431     1     4004   0  48  0  2518936   3892 -      Ss                  0 ??         0:01.09 com.apple.dock.extra
  501   437   283     4004   0   4  0  2496704   1220 -      S                   0 ??         0:00.21 /System/Library/Frameworks/Accounts.framework/Versions/A/Support/accountsd
  501   448     1     4004   0   4  0  2493304    796 -      Ss                  0 ??         0:00.08 com.apple.NotesMigratorService
  501   455   283     4004   0   4  0  2491880   1352 -      S                   0 ??         0:00.21 /usr/libexec/WiFiKeychainProxy
  501   457   283     4004   0  33  0  2470048    652 -      S                   0 ??         0:00.04 /System/Library/CoreServices/SocialPushAgent.app/Contents/MacOS/SocialPushAgent
  501   464   283     4004   0   4  0  2495100   1556 -      S                   0 ??         0:00.43 /System/Library/CoreServices/AppleIDAuthAgent
  501   467   283     4000   0  33  0   675368   1208 -      S                   0 ??         0:02.35 /Library/Printers/Canon/CUPSCAPT/BackGrounder/Canon CAPT BackGrounder.app/Contents/MacOS/Canon CAPT BackGrounder
  501   468   283     4004   0  33  0  2507160    780 -      S                   0 ??         0:00.12 /Library/Parallels/Parallels Service.app/Contents/PlugIns/Parallels NAPT Service.app/Contents/MacOS/prl_naptd proxy
  501   472   283  1004080   0  33  0   657152   1380 -      S                   0 ??         0:02.14 /Users/mac/Library/Application Support/Google/Android File Transfer/Android File Transfer Agent.app/Contents/MacOS/Android File Transfer Agent
  501   473   283     4004   0  48  0  2512556   1712 -      S                   0 ??         0:00.71 /System/Library/CoreServices/Menu Extras/TextInput.menu/Contents/SharedSupport/TISwitcher.app/Contents/MacOS/TISwitcher
    0   479     1     4008   0  33  0   659280   1500 -      S                   0 ??         0:00.12 /usr/local/hw_mp_userdata/Idea_Net_Setter/OnlineUpdate/ouc.app/Contents/MacOS/ouc /Applications/Idea Net Setter.app/Contents/Resources/UpdateDog/
  501   493   283     4004   0  33  0  2468844    904 -      S                   0 ??         0:00.05 /System/Library/Frameworks/Security.framework/Versions/A/Resources/CloudKeychainProxy.bundle/Contents/MacOS/CloudKeychainProxy
   89   522     1 80004004   0  31  0  2471392    544 -      Ss                  0 ??         0:03.11 /sbin/launchd
   89   525   522     4004   0  33  0  2493304   1352 -      S                   0 ??         0:04.94 /usr/sbin/distnoted agent
  501   541   283  1004004   0  33  0  2502040   2008 -      S                   0 ??         0:01.58 /System/Library/Services/AppleSpell.service/Contents/MacOS/AppleSpell -psn_0_147492
  501   543     1     4004   0   4  0  2496804   1824 -      Ss                  0 ??         0:00.22 com.apple.InputMethodKit.UserDictionary
  501   564   283     4004   0   4  0  2469304    320 -      S                   0 ??         0:00.02 /System/Library/PrivateFrameworks/KerberosHelper/Helpers/DiskUnmountWatcher
  501   565   283     4004   0  33  0  2469432    592 -      S                   0 ??         0:00.04 /usr/libexec/USBAgent
  501   597   283     4004   0  33  0  2470584   1244 -      S                   0 ??         0:00.39 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdflagwriter
    0   613     1     4004   0   4  0  2470840   2920 -      Ss                  0 ??         0:07.66 /usr/libexec/systemstatsd
   89   622   522     4004   0   4  0  2471956   1096 -      S                   0 ??         0:01.56 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker -s mdworker-sizing -c MDSSizingWorker -m com.apple.mdworker.sizing
  501   643   283     4004   0   4  0  2475040   1092 -      S                   0 ??         0:06.77 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker -s mdworker-sizing -c MDSSizingWorker -m com.apple.mdworker.sizing
    0   874     1  1004004   0  33  0  2478660    780 -      Ss                  0 ??         0:20.12 /usr/sbin/smbd
    0  1015     1     4004   0  32  1  2469224    344 -      SNs                 0 ??         0:00.02 /usr/libexec/periodic-wrapper daily
    0  1016     1     4004   0  32  1  2469224    344 -      SNs                 0 ??         0:00.01 /usr/libexec/periodic-wrapper weekly
    0  1103     1 80004004   0  31  0  2471392    348 -      Ss                  0 ??         0:00.05 /sbin/launchd
    0  1105  1103     4004   0  33  0  2461060    348 -      S                   0 ??         0:00.02 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdflagwriter
    0  1116     1  1004004   0   4  0  2608656   3868 -      Ss                  0 ??         0:22.15 /System/Library/PrivateFrameworks/PackageKit.framework/Resources/installd
  501  1136   283     4004   0  48  0  2521632   2284 -      S                   0 ??         0:00.55 /System/Library/PrivateFrameworks/CommerceKit.framework/Resources/LaterAgent.app/Contents/MacOS/LaterAgent
  501  1282   283     4004   0  33  0  2470444    908 -      S                   0 ??         0:00.21 /System/Library/CoreServices/NetAuthAgent.app/Contents/MacOS/NetAuthSysAgent
  501  1399   283     4004   0  48  0  2522572   2540 -      S                   0 ??         0:00.58 /System/Library/PrivateFrameworks/CloudServices.framework/Resources/EscrowSecurityAlert.app/Contents/MacOS/EscrowSecurityAlert
  501  1403     1     4004   0  48  0  3569496   1704 -      Ss                  0 ??         0:00.52 com.apple.WebKit.WebContent
  501  1413     1     4004   0   4  0  2492192    804 -      Ss                  0 ??         0:00.10 com.apple.DataDetectorsDynamicData
  501  1867   283     4004   0   4  0  2471844    728 -      S                   0 ??         0:00.04 /usr/libexec/spindump_agent
    0  2027     1     4004   0   4  0  2469656   1680 -      Ss                  0 ??         0:00.05 /usr/libexec/syspolicyd
  501  2302   283     4004   0  33  0  2469272    652 -      S                   0 ??         0:00.04 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/PrintCore.framework/Versions/A/printtool agent
   89  2378     1     4104   0   4  0  2471016   1548 -      Ss                  0 ??         0:00.35 /usr/libexec/xpcd
  501  2649     1     4004   0   4  0  2468904     12 -      Ss                  0 ??         0:00.02 com.apple.menuextra.airport.keychainproxy
  501  2653   283     4004   0   4  0  2491840   1120 -      S                   0 ??         0:00.08 /System/Library/PrivateFrameworks/CloudServices.framework/Resources/com.apple.sbd
  501  3197     1     4004   0  48  0  3569496   2204 -      Ss                  0 ??         0:00.40 com.apple.WebKit.WebContent
    0  4096     1     4004   0  31  0  2444628    172 -      S                   0 ??         0:00.03 /bin/sh /Applications/XAMPP/xamppfiles/bin/mysqld_safe --datadir=/Applications/XAMPP/xamppfiles/var/mysql --pid-file=/Applications/XAMPP/xamppfiles/var/mysql/Macs-MacBook-Pro.local.pid
